BPC,CCR,Report_Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Administrative_Closure,Allegation,Finding,ofcrRace,ofcrSex,ObjectId
18-1086,70580,2019/12/28 00:00:00+00,Telephone(or TDD),32,Black,Female,2019/03/18 00:00:00+00,8TH PRECINCT,,Property,Inconclusive,White,Male,12519
18-1086,70580,2019/12/28 00:00:00+00,Telephone(or TDD),32,Black,Female,2019/03/18 00:00:00+00,8TH PRECINCT,,Procedure,Sustained,White,Male,12520
18-1086,70580,2019/12/28 00:00:00+00,Telephone(or TDD),32,Black,Female,2019/03/18 00:00:00+00,8TH PRECINCT,,Procedure,Sustained,White,Male,12521
18-1086,70580,2019/12/28 00:00:00+00,Telephone(or TDD),32,Black,Female,2019/03/18 00:00:00+00,8TH PRECINCT,,Procedure,No Charge,Black,Male,12522
18-1086,70580,2019/12/28 00:00:00+00,Telephone(or TDD),32,Black,Female,2019/03/18 00:00:00+00,8TH PRECINCT,,Demeanor,Inconclusive,Black,Male,12523
18-1085,70578,2019/12/28 00:00:00+00,Walk In,118,Unknown,Male,2019/01/24 00:00:00+00,5TH PRECINCT,Admin.Close/Innocence of the Charge,Procedure,Admin. Closure,B,M,12524
18-1085,70578,2019/12/28 00:00:00+00,Walk In,118,Unknown,Male,2019/01/24 00:00:00+00,5TH PRECINCT,Admin.Close/Innocence of the Charge,Harassment,Admin. Closure,B,M,12525
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,UNKNOWN COMMAND,,Force,No Charge,UNKNOWN,UNKNOWN,12486
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,White,Male,12492
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,White,Male,12493
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,B,M,12494
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,B,M,12495
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,W,M,12496
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,W,M,12497
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,W,M,12498
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,W,M,12499
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Procedure,Sustained,BLACK,MALE,12500
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Force,Inconclusive,B,M,12501
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Force,Inconclusive,B,M,12502
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Force,Inconclusive,W,M,12503
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Force,Inconclusive,W,M,12504
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Force,Inconclusive,BLACK,MALE,12505
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Demeanor,Sustained,White,Male,12506
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Demeanor,Sustained,B,M,12507
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Demeanor,Sustained,W,M,12508
18-1084,70575,2019/12/27 00:00:00+00,In-Custody,27,Black,Male,2019/03/19 00:00:00+00,GANG INTELLIGENCE,,Demeanor,Sustained,W,M,12509
18-1078,70568,2019/12/26 00:00:00+00,Telephone(or TDD),50,Unknown,Female,2019/03/28 00:00:00+00,6TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,White,Male,12430
18-1078,70568,2019/12/26 00:00:00+00,Telephone(or TDD),50,Unknown,Female,2019/03/28 00:00:00+00,6TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,Hispanic,Male,12480
18-1083,70574,2019/12/26 00:00:00+00,Walk In,53,Black,Male,2019/03/13 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,UNKNOWN,UNKNOWN,12646
18-1083,70574,2019/12/26 00:00:00+00,Walk In,53,Black,Male,2019/03/13 00:00:00+00,HOMICIDE,,Demeanor,Inconclusive,WHITE,MALE,12647
18-1083,70574,2019/12/26 00:00:00+00,Walk In,53,Black,Male,2019/03/13 00:00:00+00,7TH PRECINCT,,Procedure,Sustained,Black,Female,12648
18-1083,70574,2019/12/26 00:00:00+00,Walk In,53,Black,Male,2019/03/13 00:00:00+00,7TH PRECINCT,,Procedure,Sustained,Black,Male,12649
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,UNKNOWN COMMAND,,Service,No Charge,UNKNOWN,UNKNOWN,12650
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,UNKNOWN,UNKNOWN,12651
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,UNKNOWN,UNKNOWN,12652
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,2ND PRECINCT,,Service,Exonerated,White,Male,12653
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,2ND PRECINCT,,Service,Exonerated,White,Male,12654
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,2ND PRECINCT,,Property,Inconclusive,White,Male,12655
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,2ND PRECINCT,,Property,Inconclusive,White,Male,12656
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,2ND PRECINCT,,Procedure,Sustained,White,Male,12657
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,2ND PRECINCT,,Demeanor,Unfounded,White,Male,12658
18-1082,70573,2019/12/26 00:00:00+00,Telephone(or TDD),33,Black,Male,2019/03/28 00:00:00+00,2ND PRECINCT,,Demeanor,Sustained,White,Male,12659
18-1081,70572,2019/12/26 00:00:00+00,Walk In,4,Black,Male,2019/02/18 00:00:00+00,UNKNOWN COMMAND,Admin.Close/Innocence of the Charge,Service,No Charge,UNKNOWN,UNKNOWN,12660
18-1081,70572,2019/12/26 00:00:00+00,Walk In,4,Black,Male,2019/02/18 00:00:00+00,UNKNOWN COMMAND,Admin.Close/Innocence of the Charge,Arrest,No Charge,UNKNOWN,UNKNOWN,12661
18-1081,70572,2019/12/26 00:00:00+00,Walk In,4,Black,Male,2019/02/18 00:00:00+00,11TH PRECINCT,Admin.Close/Innocence of the Charge,Procedure,Admin. Closure,BLACK,MALE,12662
18-1081,70572,2019/12/26 00:00:00+00,Walk In,4,Black,Male,2019/02/18 00:00:00+00,11TH PRECINCT,Admin.Close/Innocence of the Charge,Procedure,Admin. Closure,B,M,12663
18-1080,70571,2019/12/26 00:00:00+00,Telephone(or TDD),30,Unknown,Female,2019/03/28 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,UNKNOWN,UNKNOWN,12664
18-1080,70571,2019/12/26 00:00:00+00,Telephone(or TDD),30,Unknown,Female,2019/03/28 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Unfounded,Black,Male,12665
18-1080,70571,2019/12/26 00:00:00+00,Telephone(or TDD),30,Unknown,Female,2019/03/28 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Exonerated,Black,Male,12666
18-1080,70571,2019/12/26 00:00:00+00,Telephone(or TDD),30,Unknown,Female,2019/03/28 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Demeanor,Unfounded,Black,Male,12667
18-1080,70571,2019/12/26 00:00:00+00,Telephone(or TDD),30,Unknown,Female,2019/03/28 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Demeanor,Unfounded,Black,Male,12668
18-1079,70570,2019/12/26 00:00:00+00,Telephone(or TDD),31,Black,Male,2019/04/11 00:00:00+00,8TH PRECINCT,,Procedure,Sustained,W,M,12669
18-1079,70570,2019/12/26 00:00:00+00,Telephone(or TDD),31,Black,Male,2019/04/11 00:00:00+00,8TH PRECINCT,,Procedure,Sustained,B,M,12670
18-1079,70570,2019/12/26 00:00:00+00,Telephone(or TDD),31,Black,Male,2019/04/11 00:00:00+00,8TH PRECINCT,,Demeanor,Sustained,W,M,12671
18-1078,70568,2019/12/26 00:00:00+00,Telephone(or TDD),50,Unknown,Female,2019/03/28 00:00:00+00,UNKNOWN COMMAND,Admin.close/Inadequate Service,Service,No Charge,UNKNOWN,UNKNOWN,12672
18-1077,70567,2019/12/24 00:00:00+00,Walk In,46,Black,Female,2019/03/11 00:00:00+00,UNKNOWN COMMAND,,Service,No Charge,UNKNOWN,UNKNOWN,12636
18-1077,70567,2019/12/24 00:00:00+00,Walk In,46,Black,Female,2019/03/11 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,UNKNOWN,UNKNOWN,12640
18-1077,70567,2019/12/24 00:00:00+00,Walk In,46,Black,Female,2019/03/11 00:00:00+00,COMMUNICATIONS OPERATIONS,,Service,Exonerated,Unknown,Unknown,12641
18-1077,70567,2019/12/24 00:00:00+00,Walk In,46,Black,Female,2019/03/11 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Unfounded,Black,Female,12642
18-1077,70567,2019/12/24 00:00:00+00,Walk In,46,Black,Female,2019/03/11 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Unfounded,Black,Female,12643
18-1077,70567,2019/12/24 00:00:00+00,Walk In,46,Black,Female,2019/03/11 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Unfounded,Black,Female,12644
18-1077,70567,2019/12/24 00:00:00+00,Walk In,46,Black,Female,2019/03/11 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Unfounded,Black,Female,12645
18-1076,70566,2019/12/23 00:00:00+00,Walk In,35,White,Male,2019/03/28 00:00:00+00,UNKNOWN COMMAND,,Service,No Charge,UNKNOWN,UNKNOWN,12567
18-1076,70566,2019/12/23 00:00:00+00,Walk In,35,White,Male,2019/03/28 00:00:00+00,UNKNOWN COMMAND,,Property,No Charge,UNKNOWN,UNKNOWN,12620
18-1076,70566,2019/12/23 00:00:00+00,Walk In,35,White,Male,2019/03/28 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,UNKNOWN,UNKNOWN,12622
18-1076,70566,2019/12/23 00:00:00+00,Walk In,35,White,Male,2019/03/28 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,UNKNOWN,UNKNOWN,12624
18-1076,70566,2019/12/23 00:00:00+00,Walk In,35,White,Male,2019/03/28 00:00:00+00,9TH PRECINCT,,Demeanor,Unfounded,White,Male,12628
18-1076,70566,2019/12/23 00:00:00+00,Walk In,35,White,Male,2019/03/28 00:00:00+00,9TH PRECINCT,,Demeanor,Sustained,Black,Female,12632
18-1075,70565,2019/12/22 00:00:00+00,Telephone(or TDD),118,Unknown,Female,3019/01/30 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,UNKNOWN,UNKNOWN,12552
18-1075,70565,2019/12/22 00:00:00+00,Telephone(or TDD),118,Unknown,Female,3019/01/30 00:00:00+00,COMMUNICATIONS OPERATIONS,,Procedure,Sustained,BLACK,MALE,12557
18-1075,70565,2019/12/22 00:00:00+00,Telephone(or TDD),118,Unknown,Female,3019/01/30 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Inconclusive,UNKNOWN,UNKNOWN,12562
18-1074,70562,2019/12/21 00:00:00+00,Telephone(or TDD),53,White,Female,2019/03/19 00:00:00+00,5TH PRECINCT,Admin.Close/Innocence of the Charge,Procedure,Admin. Closure,White,Male,12542
18-1074,70562,2019/12/21 00:00:00+00,Telephone(or TDD),53,White,Female,2019/03/19 00:00:00+00,5TH PRECINCT,Admin.Close/Innocence of the Charge,Procedure,Admin. Closure,White,Male,12544
18-1070,70553,2019/12/20 00:00:00+00,Telephone(or TDD),60,White,Male,2019/02/26 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,UNKNOWN,UNKNOWN,12455
18-1070,70553,2019/12/20 00:00:00+00,Telephone(or TDD),60,White,Male,2019/02/26 00:00:00+00,12TH PRECINCT,,Demeanor,Unfounded,W,M,12462
18-1070,70553,2019/12/20 00:00:00+00,Telephone(or TDD),60,White,Male,2019/02/26 00:00:00+00,11TH PRECINCT,,Demeanor,Sustained,W,M,12463
18-1069,70552,2019/12/20 00:00:00+00,Telephone(or TDD),47,Unknown,Male,2019/03/21 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,UNKNOWN,UNKNOWN,12464
18-1069,70552,2019/12/20 00:00:00+00,Telephone(or TDD),47,Unknown,Male,2019/03/21 00:00:00+00,UNKNOWN COMMAND,,Harassment,No Charge,UNKNOWN,UNKNOWN,12465
18-1069,70552,2019/12/20 00:00:00+00,Telephone(or TDD),47,Unknown,Male,2019/03/21 00:00:00+00,8TH PRECINCT,,Procedure,Exonerated,White,Male,12466
18-1069,70552,2019/12/20 00:00:00+00,Telephone(or TDD),47,Unknown,Male,2019/03/21 00:00:00+00,8TH PRECINCT,,Procedure,Exonerated,Black,Male,12467
18-1069,70552,2019/12/20 00:00:00+00,Telephone(or TDD),47,Unknown,Male,2019/03/21 00:00:00+00,8TH PRECINCT,,Harassment,Unfounded,White,Male,12469
18-1069,70552,2019/12/20 00:00:00+00,Telephone(or TDD),47,Unknown,Male,2019/03/21 00:00:00+00,8TH PRECINCT,,Harassment,Unfounded,Black,Male,12482
18-1068,70551,2019/12/20 00:00:00+00,Telephone(or TDD),42,,Male,2019/01/24 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Procedure,Admin. Closure,UNKNOWN,UNKNOWN,12488
18-1073,70560,2019/12/20 00:00:00+00,Telephone(or TDD),43,,,2019/01/14 00:00:00+00,DOWNTOWN SERVICES,Transferred,Procedure,Admin. Closure,B,M,12741
18-1072,70558,2019/12/20 00:00:00+00,Telephone(or TDD),54,,Female,2019/02/01 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Service,No Charge,UNKNOWN,UNKNOWN,12742
18-1072,70558,2019/12/20 00:00:00+00,Telephone(or TDD),54,,Female,2019/02/01 00:00:00+00,2ND PRECINCT,Admin. Closure,Procedure,Admin. Closure,Unknown,Unknown,12743
18-1071,70556,2019/12/20 00:00:00+00,Telephone(or TDD),0,,,2019/01/31 00:00:00+00,UNKNOWN COMMAND,Admin.close/Inadequate Service,Service,No Charge,UNKNOWN,UNKNOWN,12744
18-1071,70556,2019/12/20 00:00:00+00,Telephone(or TDD),0,,,2019/01/31 00:00:00+00,7TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,Black,Female,12745
18-1071,70556,2019/12/20 00:00:00+00,Telephone(or TDD),0,,,2019/01/31 00:00:00+00,7TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,Black,Female,12746
18-1067,70550,2019/12/19 00:00:00+00,Walk In,0,Black,Male,2019/02/20 00:00:00+00,UNKNOWN COMMAND,,Harassment,No Charge,UNKNOWN,UNKNOWN,12728
18-1067,70550,2019/12/19 00:00:00+00,Walk In,0,Black,Male,2019/02/20 00:00:00+00,6TH PRECINCT,,Procedure,Inconclusive,WHITE,MALE,12729
18-1066,70549,2019/12/19 00:00:00+00,Walk In,0,,Male,2019/01/18 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,UNKNOWN,UNKNOWN,12730
18-1066,70549,2019/12/19 00:00:00+00,Walk In,0,,Male,2019/01/18 00:00:00+00,SECONDARY EMPLOYMENT,,Procedure,Unfounded,Black,Male,12731
18-1066,70549,2019/12/19 00:00:00+00,Walk In,0,,Male,2019/01/18 00:00:00+00,SECONDARY EMPLOYMENT,,Demeanor,Unfounded,Black,Male,12732
18-1065,70548,2019/12/19 00:00:00+00,Telephone(or TDD),34,Black,Female,2019/01/08 00:00:00+00,GANG INTELLIGENCE,Duplication,Procedure,Admin. Closure,W,M,12733
18-1064,70547,2019/12/19 00:00:00+00,Telephone(or TDD),50,,Female,2019/02/18 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Procedure,No Charge,UNKNOWN,UNKNOWN,12734
18-1064,70547,2019/12/19 00:00:00+00,Telephone(or TDD),50,,Female,2019/02/18 00:00:00+00,9TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,White,Male,12735
18-1064,70547,2019/12/19 00:00:00+00,Telephone(or TDD),50,,Female,2019/02/18 00:00:00+00,9TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,White,Male,12736
18-1063,70546,2019/12/19 00:00:00+00,Telephone(or TDD),28,,Male,2019/03/20 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,UNKNOWN,UNKNOWN,12737
18-1063,70546,2019/12/19 00:00:00+00,Telephone(or TDD),28,,Male,2019/03/20 00:00:00+00,8TH PRECINCT,,Procedure,Inconclusive,Hispanic,Male,12738
18-1063,70546,2019/12/19 00:00:00+00,Telephone(or TDD),28,,Male,2019/03/20 00:00:00+00,8TH PRECINCT,,Procedure,Inconclusive,White,Male,12739
18-1063,70546,2019/12/19 00:00:00+00,Telephone(or TDD),28,,Male,2019/03/20 00:00:00+00,8TH PRECINCT,,Procedure,Inconclusive,Black,Male,12740
18-1062,70545,2019/12/18 00:00:00+00,Telephone(or TDD),40,,Male,2019/03/25 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Procedure,Admin. Closure,UNKNOWN,UNKNOWN,12720
18-1061,70544,2019/12/18 00:00:00+00,Outside Agency,0,,Male,2019/03/05 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Demeanor,Admin. Closure,UNKNOWN,UNKNOWN,12721
18-1060,70543,2019/12/18 00:00:00+00,Telephone(or TDD),46,Black,Female,2019/02/15 00:00:00+00,HOMICIDE SECTION,,Demeanor,Sustained,BLACK,MALE,12722
18-1059,70542,2019/12/18 00:00:00+00,Telephone(or TDD),26,Black,Male,2019/03/19 00:00:00+00,4TH PRECINCT,,Service,No Charge,White,Male,12723
18-1059,70542,2019/12/18 00:00:00+00,Telephone(or TDD),26,Black,Male,2019/03/19 00:00:00+00,4TH PRECINCT,,Search,No Charge,White,Male,12724
18-1059,70542,2019/12/18 00:00:00+00,Telephone(or TDD),26,Black,Male,2019/03/19 00:00:00+00,4TH PRECINCT,,search,Exonerated,Black,Male,12725
18-1059,70542,2019/12/18 00:00:00+00,Telephone(or TDD),26,Black,Male,2019/03/19 00:00:00+00,4TH PRECINCT,,Procedure,Unfounded,Black,Male,12726
18-1059,70542,2019/12/18 00:00:00+00,Telephone(or TDD),26,Black,Male,2019/03/19 00:00:00+00,4TH PRECINCT,,Procedure,Unfounded,White,Male,12727
18-1058,70541,2019/12/17 00:00:00+00,Walk In,36,Black,Female,2019/02/06 00:00:00+00,UNKNOWN COMMAND,Admin.Close/Innocence of the Charge,Service,No Charge,UNKNOWN,UNKNOWN,12472
18-1058,70541,2019/12/17 00:00:00+00,Walk In,36,Black,Female,2019/02/06 00:00:00+00,UNKNOWN COMMAND,Admin.Close/Innocence of the Charge,Procedure,No Charge,UNKNOWN,UNKNOWN,12473
18-1058,70541,2019/12/17 00:00:00+00,Walk In,36,Black,Female,2019/02/06 00:00:00+00,8TH PRECINCT,Admin.Close/Innocence of the Charge,Procedure,Admin. Closure,Hispanic,Male,12474
18-1058,70541,2019/12/17 00:00:00+00,Walk In,36,Black,Female,2019/02/06 00:00:00+00,8TH PRECINCT,Admin.Close/Innocence of the Charge,Procedure,Admin. Closure,White,Male,12475
18-1057,70540,2019/12/17 00:00:00+00,Telephone(or TDD),0,Other,Female,2019/02/06 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Procedure,No Charge,UNKNOWN,UNKNOWN,12476
18-1057,70540,2019/12/17 00:00:00+00,Telephone(or TDD),0,Other,Female,2019/02/06 00:00:00+00,7TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,Black,Female,12478
18-1057,70540,2019/12/17 00:00:00+00,Telephone(or TDD),0,Other,Female,2019/02/06 00:00:00+00,7TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,Black,Male,12483
18-1056,70539,2019/12/17 00:00:00+00,Telephone(or TDD),26,,Male,2019/03/19 00:00:00+00,6TH PRECINCT,,Procedure,No Charge,Black,Male,12489
18-1056,70539,2019/12/17 00:00:00+00,Telephone(or TDD),26,,Male,2019/03/19 00:00:00+00,6TH PRECINCT,,Harassment,No Charge,Black,Male,12545
18-1056,70539,2019/12/17 00:00:00+00,Telephone(or TDD),26,,Male,2019/03/19 00:00:00+00,6TH PRECINCT,,Demeanor,Inconclusive,Black,Male,12549
18-1055,70538,2019/12/17 00:00:00+00,Telephone(or TDD),43,,Female,2018/12/21 00:00:00+00,UNKNOWN COMMAND,,Service,No Charge,UNKNOWN,UNKNOWN,12553
18-1055,70538,2019/12/17 00:00:00+00,Telephone(or TDD),43,,Female,2018/12/21 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,UNKNOWN,UNKNOWN,12558
18-1055,70538,2019/12/17 00:00:00+00,Telephone(or TDD),43,,Female,2018/12/21 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,UNKNOWN,UNKNOWN,12563
18-1055,70538,2019/12/17 00:00:00+00,Telephone(or TDD),43,,Female,2018/12/21 00:00:00+00,COMMUNICATIONS OPERATIONS,,Service,Unfounded,BLACK,FEMALE,12568
18-1055,70538,2019/12/17 00:00:00+00,Telephone(or TDD),43,,Female,2018/12/21 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Unfounded,BLACK,FEMALE,12627
18-1054,70534,2019/12/17 00:00:00+00,Walk In,56,,Female,2019/03/25 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,UNKNOWN,UNKNOWN,12631
