BPC,CCR,Report_Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Administrative_Closure,Allegation,Finding,ofcrRace,ofcrSex,ObjectId
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Unfounded,White,Male,10264
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Demeanor,Unfounded,White,Female,10265
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Demeanor,Unfounded,White,Female,10266
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,Black,Female,10267
18-391,69834,2020/05/28 00:00:00+00,Telephone (or TDD),58,White,Male,2018/11/14 00:00:00+00,5TH PRECINCT,,Force,No Charge,Black,Female,10268
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Procedure,Sustained,Black,Male,10240
18-390,69833,2020/05/27 00:00:00+00,Telephone (or TDD),57,Black,Female,2018/08/28 00:00:00+00,12TH PRECINCT,,Service,No Charge,Black,Female,10241
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Harassment,No Charge,White,Male,10242
18-390,69833,2020/05/27 00:00:00+00,Telephone (or TDD),57,Black,Female,2018/08/28 00:00:00+00,12TH PRECINCT,,Service,No Charge,White,Male,10243
18-390,69833,2020/05/27 00:00:00+00,Telephone (or TDD),57,Black,Female,2018/08/28 00:00:00+00,12TH PRECINCT,,Demeanor,No Charge,White,Male,10244
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Search,Exonerated,White,Male,10245
18-390,69833,2020/05/27 00:00:00+00,Telephone (or TDD),57,Black,Female,2018/08/28 00:00:00+00,12TH PRECINCT,,Procedure,Unfounded,Black,Female,10246
18-388,69831,2020/05/27 00:00:00+00,Walk In,49,Black,Male,2018/08/10 00:00:00+00,10TH PRECINCT PDU,,Procedure,Unfounded,White,Female,10247
18-390,69833,2020/05/27 00:00:00+00,Telephone (or TDD),57,Black,Female,2018/08/28 00:00:00+00,12TH PRECINCT,,Procedure,Unfounded,White,Male,10248
18-388,69831,2020/05/27 00:00:00+00,Walk In,49,Black,Male,2018/08/10 00:00:00+00,10TH PRECINCT PDU,,Service,No Charge,White,Female,10249
18-388,69831,2020/05/27 00:00:00+00,Walk In,49,Black,Male,2018/08/10 00:00:00+00,10TH PRECINCT PDU,,Procedure,Inconclusive,White,Female,10250
18-390,69833,2020/05/27 00:00:00+00,Telephone (or TDD),57,Black,Female,2018/08/28 00:00:00+00,12TH PRECINCT,,Demeanor,No Charge,Black,Female,10251
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Demeanor,Sustained,White,Male,10252
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Demeanor,No Charge,Black,Male,10253
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Demeanor,No Charge,Black,Male,10254
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Property,No Charge,Black,Male,10255
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Property,No Charge,Black,Male,10256
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Harassment,No Charge,Black,Male,10257
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Harassment,No Charge,Black,Male,10258
18-388,69831,2020/05/27 00:00:00+00,Walk In,49,Black,Male,2018/08/10 00:00:00+00,10TH PRECINCT PDU,,Demeanor,Inconclusive,White,Female,10259
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Search,Exonerated,Black,Male,10260
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Search,Exonerated,Black,Male,10261
18-389,69832,2020/05/27 00:00:00+00,Telephone (or TDD),2,Black,Male,2018/08/27 00:00:00+00,TACTICAL RESPONSE UNIT,,Property,No Charge,White,Male,10262
18-387,69830,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/08/22 00:00:00+00,MAJOR VIOLATORS,,Search,No Charge,White,Male,10087
18-387,69830,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/08/22 00:00:00+00,MAJOR VIOLATORS,,Procedure,Inconclusive,Black,Male,10093
18-387,69830,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/08/22 00:00:00+00,MAJOR VIOLATORS,,Procedure,Inconclusive,Black,Male,10100
18-387,69830,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/08/22 00:00:00+00,MAJOR VIOLATORS,,Procedure,Inconclusive,Black,Male,10150
18-387,69830,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/08/22 00:00:00+00,MAJOR VIOLATORS,,Procedure,Inconclusive,Black,Male,10153
18-387,69830,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/08/22 00:00:00+00,MAJOR VIOLATORS,,Procedure,Inconclusive,Hispanic,Male,10159
18-384,69827,2020/05/25 00:00:00+00,Telephone (or TDD),41,White,Male,2018/08/15 00:00:00+00,HOMICIDE SECTION,,Procedure,Unfounded,White,Female,10175
18-383,69826,2020/05/25 00:00:00+00,Telephone (or TDD),26,Black,Female,2018/08/29 00:00:00+00,TACTICAL RESPONSE UNIT,,Demeanor,Unfounded,Black,Female,10180
18-383,69826,2020/05/25 00:00:00+00,Telephone (or TDD),26,Black,Female,2018/08/29 00:00:00+00,TACTICAL RESPONSE UNIT,,Demeanor,Unfounded,Black,Female,10182
18-385,69828,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/07/24 00:00:00+00,12TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,Black,Female,10184
18-387,69830,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/08/22 00:00:00+00,MAJOR VIOLATORS,,Entry,No Charge,White,Male,10187
18-385,69828,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/07/24 00:00:00+00,12TH PRECINCT,Admin.close/Inadequate Service,Arrest,No Charge,Black,Female,10203
18-383,69826,2020/05/25 00:00:00+00,Telephone (or TDD),26,Black,Female,2018/08/29 00:00:00+00,TACTICAL RESPONSE UNIT,,Procedure,Sustained,Black,Female,10207
18-383,69826,2020/05/25 00:00:00+00,Telephone (or TDD),26,Black,Female,2018/08/29 00:00:00+00,TACTICAL RESPONSE UNIT,,Procedure,Exonerated,Black,Female,10213
18-383,69826,2020/05/25 00:00:00+00,Telephone (or TDD),26,Black,Female,2018/08/29 00:00:00+00,TACTICAL RESPONSE UNIT,,Procedure,Exonerated,Black,Female,10237
18-386,69829,2020/05/25 00:00:00+00,Walk In,29,Black,Male,2018/07/11 00:00:00+00,12TH PRECINCT,Admin.Close/Innocence of the Charge,Procedure,Admin. Closure,Black,Female,10238
18-387,69830,2020/05/25 00:00:00+00,Telephone (or TDD),39,Black,Female,2018/08/22 00:00:00+00,MAJOR VIOLATORS,,Procedure,Inconclusive,White,Male,10239
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Procedure,Exonerated,White,Male,10020
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Procedure,Exonerated,White,Male,10028
18-381,69807,2020/05/24 00:00:00+00,Telephone (or TDD),62,Black,Male,2018/08/22 00:00:00+00,10TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,Black,Female,10077
18-379,69805,2020/05/24 00:00:00+00,Walk In,66,Black,Female,2018/08/28 00:00:00+00,3RD PRECINCT,,Service,Unfounded,Black,Female,10081
18-379,69805,2020/05/24 00:00:00+00,Walk In,44,Black,Male,2018/08/28 00:00:00+00,3RD PRECINCT,,Service,Unfounded,Black,Female,10206
18-375,69801,2020/05/24 00:00:00+00,Telephone (or TDD),42,Black,Female,2018/06/04 00:00:00+00,9TH PRECINCT PDU,Duplication,Harassment,Admin. Closure,White,Male,10212
18-379,69805,2020/05/24 00:00:00+00,Walk In,44,Black,Male,2018/08/28 00:00:00+00,3RD PRECINCT,,Procedure,Unfounded,Black,Female,10272
18-378,69804,2020/05/24 00:00:00+00,Telephone (or TDD),61,Black,Male,2018/08/20 00:00:00+00,PRISONER PROCESSING UNIT,,Demeanor,Inconclusive,Black,Female,10273
18-378,69804,2020/05/24 00:00:00+00,Telephone (or TDD),61,Black,Male,2018/08/20 00:00:00+00,PRISONER PROCESSING UNIT,,Demeanor,Inconclusive,Black,Female,10274
18-381,69807,2020/05/24 00:00:00+00,Telephone (or TDD),62,Black,Male,2018/08/22 00:00:00+00,10TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,Black,Male,10275
18-376,69802,2020/05/24 00:00:00+00,Online,26,Black,Male,2018/08/22 00:00:00+00,8TH PRECINCT,,Demeanor,Sustained,Black,Male,10276
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,Unknown,Unknown,10280
18-378,69804,2020/05/24 00:00:00+00,Telephone (or TDD),61,Black,Male,2018/08/20 00:00:00+00,UNKNOWN COMMAND,,Demeanor,No Charge,Unknown,Unknown,10284
18-379,69805,2020/05/24 00:00:00+00,Walk In,66,Black,Female,2018/08/28 00:00:00+00,3RD PRECINCT,,Service,Unfounded,Black,Male,10345
18-376,69802,2020/05/24 00:00:00+00,Online,26,Black,Male,2018/08/22 00:00:00+00,8TH PRECINCT,,Demeanor,Sustained,White,Male,10370
18-379,69805,2020/05/24 00:00:00+00,Walk In,44,Black,Male,2018/08/28 00:00:00+00,3RD PRECINCT,,Procedure,Unfounded,Black,Male,10378
18-379,69805,2020/05/24 00:00:00+00,Walk In,44,Black,Male,2018/08/28 00:00:00+00,3RD PRECINCT,,Service,Unfounded,Black,Male,10379
18-382,69825,2020/05/24 00:00:00+00,Telephone (or TDD),46,Black,Female,2018/08/22 00:00:00+00,11TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,Black,Male,10380
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,UNKNOWN COMMAND,,Search,No Charge,Unknown,Unknown,10381
18-381,69807,2020/05/24 00:00:00+00,Telephone (or TDD),62,Black,Male,2018/08/22 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Procedure,No Charge,Unknown,Unknown,10382
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Search,Exonerated,White,Male,10383
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Search,Exonerated,White,Male,10384
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Search,Exonerated,White,Male,10385
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Search,Exonerated,White,Male,10386
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Search,Exonerated,White,Male,10387
18-380,69806,2020/05/24 00:00:00+00,Telephone (or TDD),52,Black,Female,2018/08/22 00:00:00+00,COMMUNICATIONS OPERATIONS,,Service,Inconclusive,Black,Female,10388
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,UNKNOWN COMMAND,,Procedure,No Charge,Unknown,Unknown,10389
18-380,69806,2020/05/24 00:00:00+00,Telephone (or TDD),52,Black,Female,2018/08/22 00:00:00+00,UNKNOWN COMMAND,,Service,No Charge,Unknown,Unknown,10390
18-376,69802,2020/05/24 00:00:00+00,Online,26,Black,Male,2018/08/22 00:00:00+00,8TH PRECINCT,,Procedure,Sustained,Black,Male,10391
18-379,69805,2020/05/24 00:00:00+00,Walk In,66,Black,Female,2018/08/28 00:00:00+00,3RD PRECINCT,,Procedure,Unfounded,Black,Male,10392
18-377,69803,2020/05/24 00:00:00+00,Online,51,Black,Female,2018/08/22 00:00:00+00,9TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,White,Male,10393
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Demeanor,Sustained,White,Male,10394
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Demeanor,Sustained,White,Male,10395
18-376,69802,2020/05/24 00:00:00+00,Online,26,Black,Male,2018/08/22 00:00:00+00,8TH PRECINCT,,Demeanor,Exonerated,Black,Male,10396
18-382,69825,2020/05/24 00:00:00+00,Telephone (or TDD),46,Black,Female,2018/08/22 00:00:00+00,11TH PRECINCT,Admin.close/Inadequate Service,Demeanor,No Charge,Black,Male,10397
18-376,69802,2020/05/24 00:00:00+00,Online,26,Black,Male,2018/08/22 00:00:00+00,8TH PRECINCT,,Demeanor,No Charge,White,Male,10398
18-379,69805,2020/05/24 00:00:00+00,Walk In,66,Black,Female,2018/08/28 00:00:00+00,3RD PRECINCT,,Procedure,Unfounded,Black,Female,10399
18-374,69800,2020/05/24 00:00:00+00,Walk In,37,Black,Female,2018/09/24 00:00:00+00,11TH PRECINCT,,Procedure,Exonerated,White,Male,10400
18-373,69799,2020/05/23 00:00:00+00,Online,27,Other,Female,2018/08/20 00:00:00+00,3RD PRECINCT,Admin. Closure,Procedure,Admin. Closure,White,Male,10196
18-373,69799,2020/05/23 00:00:00+00,Online,27,Other,Female,2018/08/20 00:00:00+00,3RD PRECINCT,Admin. Closure,Procedure,Admin. Closure,Asian,Male,10198
18-373,69799,2020/05/23 00:00:00+00,Online,27,Other,Female,2018/08/20 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Procedure,No Charge,Unknown,Unknown,10200
18-373,69799,2020/05/23 00:00:00+00,Online,27,Other,Female,2018/08/20 00:00:00+00,3RD PRECINCT,Admin. Closure,Procedure,Admin. Closure,Other,Male,10202
18-368,69794,2020/05/22 00:00:00+00,Telephone (or TDD),49,Black,Male,2018/07/16 00:00:00+00,9TH PRECINCT PDU,Admin. Closure,Procedure,Admin. Closure,Black,Female,10017
18-370,69796,2020/05/22 00:00:00+00,Walk In,59,Black,Male,2018/08/24 00:00:00+00,MAJOR VIOLATORS,,Demeanor,Inconclusive,Black,Male,10025
18-370,69796,2020/05/22 00:00:00+00,Walk In,59,Black,Male,2018/08/24 00:00:00+00,MAJOR VIOLATORS,,Demeanor,Inconclusive,Black,Male,10078
18-370,69796,2020/05/22 00:00:00+00,Walk In,59,Black,Male,2018/08/24 00:00:00+00,MAJOR VIOLATORS,,Demeanor,Inconclusive,Black,Male,10080
18-370,69796,2020/05/22 00:00:00+00,Walk In,59,Black,Male,2018/08/24 00:00:00+00,MAJOR VIOLATORS,,Demeanor,Inconclusive,Black,Male,10084
18-372,69798,2020/05/22 00:00:00+00,Walk In,39,Black,Female,2018/08/10 00:00:00+00,6TH PRECINCT,,Harassment,Unfounded,White,Male,10099
18-371,69797,2020/05/22 00:00:00+00,Telephone (or TDD),50,Black,Male,2018/08/10 00:00:00+00,COMMUNICATIONS OPERATIONS,,Procedure,Exonerated,Black,Female,10151
18-371,69797,2020/05/22 00:00:00+00,Telephone (or TDD),50,Black,Male,2018/08/10 00:00:00+00,COMMUNICATIONS OPERATIONS,,Procedure,Unfounded,Black,Female,10154
18-370,69796,2020/05/22 00:00:00+00,Walk In,59,Black,Male,2018/08/24 00:00:00+00,MAJOR VIOLATORS,,Procedure,Inconclusive,White,Male,10156
18-369,69795,2020/05/22 00:00:00+00,Walk In,31,Black,Male,2018/08/15 00:00:00+00,6TH PRECINCT,,Service,No Charge,Black,Male,10190
18-367,69793,2020/05/22 00:00:00+00,Telephone (or TDD),37,Black,Male,2018/07/18 00:00:00+00,4TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,White,Male,10192
18-367,69793,2020/05/22 00:00:00+00,Telephone (or TDD),37,Black,Male,2018/07/18 00:00:00+00,4TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,White,Male,10194
18-369,69795,2020/05/22 00:00:00+00,Walk In,31,Black,Male,2018/08/15 00:00:00+00,6TH PRECINCT,,Procedure,Inconclusive,Black,Male,10225
18-370,69796,2020/05/22 00:00:00+00,Walk In,59,Black,Male,2018/08/24 00:00:00+00,MAJOR VIOLATORS,,Procedure,Inconclusive,Hispanic,Male,10226
