id,rank,training_name,training_type,hours
310,Police Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
311,Police Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
312,Police Officer,2019 Response to Resistance Scenarios,Police Training,4
313,Police Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
314,Police Officer,2019 Home Made Explosives Recognition,Police Training,1
315,Police Officer,2019 ALICE Methodology,Police Training,1
316,Police Officer,2019 Community Policing / Problem Solving,Police Training,1
317,Police Officer,2019 Below 100,Police Training,1
318,Police Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
319,Police Officer,2019 Employee Asssistance Program,Police Training,1
320,Police Officer,2019 52-1 District Court Update ,Police Training,2
321,Police Officer,2019 LEIN / MICR / Booking Update,Police Training,2
322,Police Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
323,Police Officer,2019 Accreditation Training,Community Policing,1
324,Police Officer,Ethical Decision Making and Intervention,Police Training,1
325,Police Officer,2019 Accreditation Review,Police Training,1
326,Police Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
327,Police Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
328,Police Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
329,Police Officer,Veterans Affairs S.A.V.E Training,Police Training,1
330,Police Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
331,Police Officer,Leading Without Rank: Leadership for the Line Officer,Police Training,8
332,Police Officer,TSC Watchlisting Training,Police Training,1
333,Police Officer,19-905 OWI Investigations,Police Training,1
334,Police Officer,Datamaster DMT,Police Training,2.5
335,Police Officer,Outdoor Rifle Training,Police Training,9
336,Police Officer,Outdoor Rifle Training,Police Training,9
337,Police Officer,Rifle Training and Qualification,Police Training,8
338,Police Officer,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
339,Police Officer,OakTac Active Shooter Response Training,Police Training,16
340,Police Officer,Firearms Training/Qualification,Police Training,1
341,Police Officer,Firearms Training/Qualification,Police Training,1
342,Police Officer,Firearms Training/Qualification,Police Training,1
343,Police Officer,2019 Bloodborne Pathogens ,Police Training,1
344,Police Officer,Hazardous Materials 2019,Police Training,1
345,Police Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
346,Police Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
347,Police Officer,2019 Response to Resistance Scenarios,Police Training,4
348,Police Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
349,Police Officer,2019 Home Made Explosives Recognition,Police Training,1
350,Police Officer,2019 ALICE Methodology,Police Training,1
351,Police Officer,2019 Community Policing / Problem Solving,Police Training,1
352,Police Officer,2019 Below 100,Police Training,1
353,Police Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
354,Police Officer,2019 Employee Asssistance Program,Police Training,1
355,Police Officer,2019 52-1 District Court Update ,Police Training,2
356,Police Officer,2019 LEIN / MICR / Booking Update,Police Training,2
357,Police Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
358,Police Officer,Ethical Decision Making and Intervention,Police Training,1
359,Police Officer,2019 Accreditation Review,Police Training,1
360,Police Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
361,Police Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
362,Police Officer,Veterans Affairs S.A.V.E Training,Police Training,1
363,Police Officer,MILO Simulator Training,Police Training,24
364,Police Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
365,Patrol Officer,Rifle Training and Qualification,Police Training,8
366,Patrol Officer,Advanced Roadside Impaired Driving Enforcement (ARIDE),Police Training,16
367,Patrol Officer,Firearms Training/Qualification,Police Training,1
368,Patrol Officer,Firearms Training/Qualification,Police Training,1
369,Patrol Officer,Firearms Training/Qualification,Police Training,1
370,Patrol Officer,Firearms Training/Qualification,Police Training,1
371,Patrol Officer,Emergency Vehicle Operations (EVO),Police Training,8
372,Patrol Officer,2019 Bloodborne Pathogens ,Police Training,1
373,Patrol Officer,Hazardous Materials 2019,Police Training,1
374,Patrol Officer,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
375,Patrol Officer,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
376,Patrol Officer,2019 Response to Resistance Scenarios,Police Training,4
377,Patrol Officer,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
378,Patrol Officer,2019 Home Made Explosives Recognition,Police Training,1
379,Patrol Officer,2019 ALICE Methodology,Police Training,1
380,Patrol Officer,2019 Community Policing / Problem Solving,Police Training,1
381,Patrol Officer,2019 Below 100,Police Training,1
382,Patrol Officer,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
383,Patrol Officer,2019 Employee Asssistance Program,Police Training,1
384,Patrol Officer,2019 52-1 District Court Update ,Police Training,2
385,Patrol Officer,2019 LEIN / MICR / Booking Update,Police Training,2
386,Patrol Officer,2019 Resiliance and Self Care for First Repsonders,Police Training,2
387,Patrol Officer,2019 Accreditation Training,Community Policing,1
388,Patrol Officer,Ethical Decision Making and Intervention,Police Training,1
389,Patrol Officer,2019 Accreditation Review,Police Training,1
390,Patrol Officer,Michigan State Police Security Awareness Training Level 1,Police Training,1
391,Patrol Officer,Michigan State Police Security Awareness Training Level 2,Police Training,1
392,Patrol Officer,Michigan State Police Security Awareness Training Level 3,Police Training,1
393,Patrol Officer,Veterans Affairs S.A.V.E Training,Police Training,1
394,Patrol Officer,2019 OTOA Conference (Ohio Tactical Officers Association),Police Training,40
395,Patrol Officer,Office of Highway Safety Planning OWI Investigations,Police Training,1
396,Patrol Officer,TSC Watchlisting Training,Police Training,1
397,Patrol Officer,19-905 OWI Investigations,Police Training,1
398,Cadet,Diversity Training (HR),HR Training,0
399,Cadet,Customer Service Guarantee Training,HR Training,
400,Cadet,TSC Watchlisting Training,Police Training,1
401,Detective,Outdoor Rifle Training,Police Training,9
402,Detective,Rifle Training and Qualification,Police Training,8
403,Detective,Rifle Training and Qualification,Police Training,8
404,Detective,Firearms Training/Qualification,Police Training,1
405,Detective,Firearms Training/Qualification,Police Training,1
406,Detective,Emergency Vehicle Operations (EVO),Police Training,8
407,Detective,2019 Bloodborne Pathogens ,Police Training,1
408,Detective,Hazardous Materials 2019,Police Training,1
409,Detective,2019 Crisis Intervention / Crisis Negotiation,Police Training,2
410,Detective,2019 Taser / PPCT / Freeze +P / ASP,Police Training,4
411,Detective,2019 Response to Resistance Scenarios,Police Training,4
412,Detective,2019 EVO / Pursuit / Decision Making / Directive Review,Police Training,1
413,Detective,2019 Home Made Explosives Recognition,Police Training,1
414,Detective,2019 ALICE Methodology,Police Training,1
415,Detective,2019 Community Policing / Problem Solving,Police Training,1
416,Detective,2019 Below 100,Police Training,1
417,Detective,2019 Legal Update / Domestic Violence / Stalking,Police Training,6
418,Detective,2019 Employee Asssistance Program,Police Training,1
419,Detective,2019 52-1 District Court Update ,Police Training,2
420,Detective,2019 LEIN / MICR / Booking Update,Police Training,2
421,Detective,2019 Resiliance and Self Care for First Repsonders,Police Training,2
422,Detective,Ethical Decision Making and Intervention,Police Training,1
423,Detective,2019 Accreditation Review,Police Training,1
424,Detective,Michigan State Police Security Awareness Training Level 1,Police Training,1
425,Detective,Michigan State Police Security Awareness Training Level 2,Police Training,1
426,Detective,Michigan State Police Security Awareness Training Level 3,Police Training,1
